,artist_name,RelatedArtist_Name,rank,external_urls__spotify,followers__total,genres__001,genres__002,genres__003,genres__004,genres__005,id,Large_image,Medium_image,Small_image,popularity,type
0,!!!,The Rapture,1,https://open.spotify.com/artist/166Dz1GX3xonSQ3Z6CQW26,218863,alternative dance,dance-punk,electronica,indie rock,modern rock,166Dz1GX3xonSQ3Z6CQW26,https://i.scdn.co/image/0d5f9ab947edf8f3f7957086668af63b7c239532,https://i.scdn.co/image/2a729f1c5905c1c72a4afbc99939aa183d097855,https://i.scdn.co/image/9be22153f19d83b435f8abf67035f03b26ec2e9a,53,artist
1,!!!,Fujiya & Miyagi,2,https://open.spotify.com/artist/0j2MwhbFTvquOBhs3LeIfU,65088,alternative dance,brighton indie,dance-punk,electronica,neo-kraut,0j2MwhbFTvquOBhs3LeIfU,https://i.scdn.co/image/d71999dcd892cb1483520717a59dcfa6695160a9,https://i.scdn.co/image/b9c036d5364d27a49b4be58d03be897bcbe39bfa,https://i.scdn.co/image/46512b737d42827971e91a61348390b847669a0b,45,artist
2,!!!,Hot Chip,3,https://open.spotify.com/artist/37uLId6Z5ZXCx19vuruvv5,578730,alternative dance,chillwave,dance-punk,electronica,electropop,37uLId6Z5ZXCx19vuruvv5,https://i.scdn.co/image/74c59113051e700e10077f26698d8a1f612454a7,https://i.scdn.co/image/244be745cdffdad313cd93c637020a72e4b417d7,https://i.scdn.co/image/cec8531cf05eb8255b2a9f4259b3b01048425e79,63,artist
3,!!!,LCD Soundsystem,4,https://open.spotify.com/artist/066X20Nz7iquqkkCW6Jxy6,822254,alternative dance,alternative rock,dance-punk,electronic rock,electronica,066X20Nz7iquqkkCW6Jxy6,https://i.scdn.co/image/f8d0cb93fc39fdcdfab0ea7b4ea64d449cbb1aa4,https://i.scdn.co/image/1137103dc825ade57c5989c20c4878f7bf345aeb,https://i.scdn.co/image/4573dfe22b33df366096c46528b88aa91888c14a,66,artist
4,!!!,YACHT,5,https://open.spotify.com/artist/57anmI1X2hXWPrNagFdzZr,98247,ai,alternative dance,chillwave,dance-punk,new rave,57anmI1X2hXWPrNagFdzZr,https://i.scdn.co/image/b2dd9916fc1ee6336beb0ba8c7362973e48a41e9,https://i.scdn.co/image/cdeef06e69554720bd2003f0d6f4006ad7066112,https://i.scdn.co/image/dbf901cf8fcca08d3c149f383321c28788a52ddb,46,artist
5,!!!,The Juan Maclean,6,https://open.spotify.com/artist/7gG6LkU3pCSQmCIPR4aSBt,38914,alternative dance,balearic,dance-punk,electroclash,electronica,7gG6LkU3pCSQmCIPR4aSBt,https://i.scdn.co/image/a831d9d008a12cb0d4f12695ed8484e7a6e0341a,https://i.scdn.co/image/66d901b1a26b5acbfeade62852c8b8dce35a60c0,https://i.scdn.co/image/bbedad9cb5d1a3945f236a3615064dbe841572cf,40,artist
6,!!!,Junior Boys,7,https://open.spotify.com/artist/39x9e2QDpAxK8xTuJDwRqR,71285,alternative dance,balearic,canadian electropop,chillwave,dance-punk,39x9e2QDpAxK8xTuJDwRqR,https://i.scdn.co/image/7c06fcb2d6db556c5b6f94ab8964092632b50acd,https://i.scdn.co/image/d0e152141c4130414defe7406376f063ab8741c3,https://i.scdn.co/image/cd72d2ca013dc3bdf0a8ee3abc6581b6467bf020,41,artist
7,!!!,Datarock,8,https://open.spotify.com/artist/4foARo5aSfuIuDLupoxK4k,32858,alternative dance,bergen indie,dance-punk,new rave,,4foARo5aSfuIuDLupoxK4k,https://i.scdn.co/image/25ce781ae1f3b81c671cdd7e446b5f301071818b,https://i.scdn.co/image/d495ac731126485d0f45d4be1fdb730e612f5bbb,https://i.scdn.co/image/3f0613f609ac669db8e05219504804eb1bb9d808,40,artist
8,!!!,Soulwax,9,https://open.spotify.com/artist/43mWhBXSflupNLuNjM5vff,200282,alternative dance,belgian indie,belgian indie rock,belgian rock,big beat,43mWhBXSflupNLuNjM5vff,https://i.scdn.co/image/417d68a62c258e9adb243f1a263bb73f5d913c7a,https://i.scdn.co/image/89592452c863ee7b6b7dffebbd9d417717807c3d,https://i.scdn.co/image/d20edb68166bba157ecacdbef743aa7a91f10add,58,artist
9,!!!,WhoMadeWho,10,https://open.spotify.com/artist/50Lr1puweM1hFsF1LpIZLM,113459,alternative dance,dance-punk,danish indie,electronica,experimental pop,50Lr1puweM1hFsF1LpIZLM,https://i.scdn.co/image/12c1122c3b132d2baa1aeac12176972e613a9d29,https://i.scdn.co/image/a79b5f67b6e84b30f7970c3b0c4dd5f5996d0719,https://i.scdn.co/image/870c4fed8dc3fa296cd4e35fd553d1d0b8252767,57,artist
